,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
14,0,0,0,1,0,0,1,1,0,0,0,1,2,1,40,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,1,1,3,1,0,0,0,0,0,0,0,2,0,1,1,144,0,0,0,0,0,0,0,3,0,0,0,4,0,0,2,0,1,0,0,0,2,2
16,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,2,0,0,9,0,0,2,2,5,0,1,0,0,108,10,3,2,6,0,0,4,0,2,0,0,0,0,0,0,0,0,7,0,0
18,0,0,0,0,0,0,0,5,1,0,0,0,4,0,0,0,3,0,58,2,4,5,0,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0
19,2,0,4,0,0,0,0,0,0,0,1,1,4,1,1,1,0,0,2,99,5,1,1,1,1,0,0,0,1,0,0,0,6,0,0,8,0,2
20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,57,4,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,1,0,24,1,0,0,0,0,0,4,1,103,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,3,4,3,107,20,2,3,0,1,1,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,8,4,98,0,1,0,0,0,0,0,0,0,0,0,4,0,0
24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,412,0,0,0,0,0,0,0,1,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
26,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,2,0,0,144,3,0,0,0,1,0,0,0,1,0,0
27,7,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,0,0,0,0,4,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,70,0,0,0,0,0,0,4,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,77,0,0,0,0,1,3,1,0
30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,0,0,0,0,3,0,0
31,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,0,5,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,6,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,2,41,4,0,0
35,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,3,0,8,0,0,7,1,348,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,24,0
37,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,117
